ModelNumber,Name,Category,Colors,Status
"1108767","MERINO WOOL JACQUARD LEG WARMERS","SOCKS","DGY;GY;LGY;TN","No mapping"
"1108808","MERINO WOOL SUPPORTEC WALKING SHORT SOCKS","SOCKS","CHGY;NV","No mapping"
"1108809","MERINO WOOL SUPPORTEC WALKING SOCKS","SOCKS","CHGY;NV","No mapping"
"1108895","CLIMAPLUS 200 MITTENS","GLOVES","HCH;NV;OTML","No mapping"
"1108896","KNIT HIGHLAND MUFFLER FOREST","SCARF AND NECK GAITER","BN;GY;NV;RD","No mapping"
"1109214","GLASSES STRAP","EYE WEAR","#13;#17;#20;#21;BK;DKNV","No mapping"
"1109216","STRETCH BELT SLIM BUCKLE","PANTS","CHBK;OV;SLBL;THYM","No mapping"
"1109232","ALUMINUM BUCKLE WEB BELT","PANTS","#1;#2;#3;#4;#5;#6","No mapping"
"1109233","STRETCH BELT","PANTS","#1;#2;#3;#4","No mapping"
"1109241","FLOATING 2-WAY GLASSES STRAP","EYE WEAR","BL;OG","No mapping"
"1109242","2-WAY GLASSES STRAP","EYE WEAR","#14;#15;#18;#19;BK;NV","No mapping"
"1109248","FLOATING 2-WAY DRY GLASSES STRAP","EYE WEAR","BL;OG","No mapping"
"1109249","2-WAY DRY GLASSES STRAP","EYE WEAR","BK","No mapping"
"1109280","GLASSES BAND","EYEWEAR","#13;#18;#19;#22;#23","No mapping"
"1114126","WOOL MOUNTAIN SHIRT MEN'S","SHIRTS","DBN;LGY;NV","No mapping"
"1114390","MOUNTAIN JERSEY JACKET MEN'S","KNIT SHIRTS","BK;BKNV;HGY","No mapping"
"1114391","MOUNTAIN JERSEY JACKET WOMEN'S","KNIT SHIRTS","BK;WTSM","No mapping"
"1114439","MERINO WOOL PLUS ACTION ZIP NECK MEN'S","KNIT SHIRTS","BK;BKOV;IND;OGRD","No mapping"
"1114442","MERINO WOOL PLUS STRIPED LONG SLEEVE T WOMEN'S","KNIT SHIRTS","BGN;ID/OF;LGY","No mapping"
"1114494","WICKRON LIGHT SINGLE POCKET LONG SLEEVE SHIRT WOMEN'S","SHIRTS","BL;GY;IV;LBL;NV;WT25","No mapping"
"1114544","WICKRON STRIPED LONG SLEEVE T WOMEN'S","KNIT SHIRTS","D/B-W;IV/DN;LG/IV;WT/RD","No mapping"
"1114547","WICKRON DRY TOUCH LONG SLEEVE SHIRT MEN'S","SHIRTS","DGY;LGN;MALD;NV;WRD;WT","No mapping"
"1114548","WICKRON DRY TOUCH LONG SLEEVE SHIRT WOMEN'S","SHIRTS","GN;LGY;LVBL;TN","No mapping"
"1114617","MERINO WOOL PLUS LIGHT LONG SLEEVE T MEN'S NORTHERN ANIMAL LOGO","KNIT SHIRTS","YL","No mapping"
"1114618","MERINO WOOL PLUS LIGHT LONG SLEEVE T WOMEN'S NORTHERN ANIMAL LOGO","KNIT SHIRTS","BL;DGY","No mapping"
"1114619","MERINO WOOL PLUS LIGHT LONG SLEEVE T MEN'S MOUNTAIN COLLAGE","KNIT SHIRTS","DGY","No mapping"
"1114620","MERINO WOOL PLUS LIGHT LONG SLEEVE T WOMEN'S MOUNTAIN COLLAGE","KNIT SHIRTS","NV","No mapping"
"1114670","WICKRON LIGHT STAND COLLAR SHIRT MEN'S","SHIRTS","BL;GN25;LGY25","No mapping"
"1114671","WICKRON LIGHT STAND COLLAR SHIRT WOMEN'S","SHIRTS","BL;GY;LGY;PK","No mapping"
"1114693","WICKRON RAGLAN LONG SLEEVE T MEN'S","KNIT SHIRTS","BGN;BN;DGY;DGY24;WT","No mapping"
"1114694","WICKRON RAGLAN LONG SLEEVE T WOMEN'S","KNIT SHIRTS","BGN;DGN;NV;PK;WT","No mapping"
"1114768","WICKRON LONG SLEEVE T WHITE MOUNTAIN RANGE","KNIT SHIRTS","NV;WT","No mapping"
"1114770","WICKRON LONG SLEEVE T GEAR CIRCLE","KNIT SHIRTS","DGY;IV","No mapping"
"1114771","WICKRON LONG SLEEVE T SHIROI YAMAOTOKO","KNIT SHIRTS","NV","No mapping"
"1114772","WICKRON LONG SLEEVE T MOUNTAIN GEAR","KNIT SHIRTS","KGN;PU","No mapping"
"1114773","WICKRON LONG SLEEVE T MONTA BEAR FACE","KNIT SHIRTS","BK","No mapping"
"1114795","WICKRON LONG SLEEVE T WOMEN'S MONTA BEAR FACE","KNIT SHIRTS","BK","No mapping"
"1114796","WICKRON LONG SLEEVE T WOMEN'S ROPE","KNIT SHIRTS","DGY;LBL","No mapping"
"1114797","WICKRON LONG SLEEVE T WOMEN'S MOUNTAIN GEAR","KNIT SHIRTS","KH;PU","No mapping"
"1114832","WICKRON LIGHT DOUBLE POCKET LONG SLEEVE SHIRT MEN'S","SHIRTS","BGN;BL;RD25;TN","No mapping"
